"","X","Lat","Lon","Name","Sub_Prop","Food","Healthcare","Other","N_A","Work","Education","Retail","Recreation"
"1",0,42.1672255554165,-70.9055578337029,"BCBS Hingham",0.932367149758454,0,0,0,99,0,0,1,192
"2",1,42.267902,-71.093641,"Mattapan T Stop",0.399232245681382,4,2,0,104,0,2,0,190
"3",2,42.2709470702923,-71.0733790140512,"Central Ave at River St",0.316666666666667,0,0,0,103,0,0,1,190
"4",3,42.2746206718122,-71.0937255249337,"Blue Hill Ave at Almont St",0.346368715083799,0,0,0,114,0,8,0,204
"5",4,42.2760049875667,-71.0392498226793,"BCBS Quincy",0.8743961352657,0,0,0,104,1,0,0,190
"6",5,42.2771946963979,-71.0695561395005,"Washington St at Walsh Playground",0.6,0,2,0,103,18,8,0,190
"7",6,42.2773889,-71.09325,"Mattapan Library",0.392857142857143,0,0,0,112,0,4,0,200
"8",7,42.2774844420082,-71.1634146795586,"Spring St at Powell St",0.677966101694915,0,0,0,133,37,9,1,208
"9",8,42.278811581566,-71.1168770306267,"American Legion Hwy at Canterbury St",0.136363636363636,2,0,0,108,11,2,4,190
"10",9,42.278811581566,-71.1168770306267,"Cummins at American Legion",0.375,2,0,0,108,11,2,4,190
"11",10,42.2807251429203,-71.0861724243478,"Morton St T",0.608695652173913,2,2,0,104,1,6,0,190
"12",11,42.280728147169,-71.1342375727327,"Washington St at Denton Terr",0.640625,4,0,0,97,0,2,0,190
"13",12,42.2819862773391,-71.0714792462022,"Washington St at Fuller St",0.111111111111111,0,0,0,101,0,2,0,194
"14",13,42.2827790107405,-71.1572885141686,"Centre St at Parkway YMCA",0.642105263157895,8,2,0,203,0,2,2,208
"15",14,42.282975678403,-71.0546669829637,"Gallivan Blvd at Adams St",0.549295774647887,4,0,0,105,0,6,2,194
"16",15,42.2848447244354,-71.1187451706246,"Mt. Hope St at Hyde Park Ave",0.196581196581197,0,0,0,102,0,6,0,192
"17",16,42.2856944,-71.0641389,"Ashmont T Stop",0.687301587301587,8,0,0,127,38,0,2,190
